step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
107,1.070,0.0000,0.0000,-0.4734,-0.0025,0.0001,-9.6439,-0.0001,0.0017,0.0006,0.761,0.761,0.761,0.761,297,62,108
108,1.080,0.0000,0.0000,-0.4814,-0.0006,-0.0004,-9.6754,0.0002,-0.0015,-0.0003,0.759,0.759,0.759,0.759,299,63,109
109,1.090,0.0000,0.0000,-0.4814,-0.0012,-0.0037,-9.6718,-0.0001,0.0005,0.0006,0.763,0.763,0.763,0.763,301,63,110
110,1.100,0.0000,0.0000,-0.4895,-0.0027,0.0010,-9.7004,0.0000,0.0008,-0.0013,0.761,0.761,0.761,0.761,303,64,111
111,1.110,0.0000,0.0000,-0.4975,-0.0003,0.0005,-9.7120,-0.0010,0.0000,-0.0006,0.758,0.758,0.758,0.758,306,65,112
112,1.120,0.0000,0.0000,-0.4975,-0.0015,-0.0018,-9.6907,-0.0003,-0.0008,-0.0012,0.762,0.762,0.762,0.762,308,65,113
113,1.130,0.0000,0.0000,-0.5054,0.0021,-0.0018,-9.7153,-0.0016,0.0010,0.0001,0.760,0.760,0.760,0.760,310,66,114
114,1.140,0.0000,0.0000,-0.5054,0.0056,0.0013,-9.7081,-0.0000,-0.0005,0.0002,0.764,0.764,0.764,0.764,313,66,115
115,1.150,0.0000,0.0000,-0.5133,-0.0003,0.0029,-9.7450,-0.0000,-0.0005,-0.0007,0.762,0.762,0.762,0.762,315,67,116
116,1.160,0.0000,0.0000,-0.5133,-0.0015,-0.0007,-9.7564,0.0001,0.0005,-0.0007,0.766,0.766,0.766,0.766,317,67,117
117,1.170,0.0000,0.0000,-0.5212,0.0035,0.0017,-9.7849,0.0002,-0.0004,-0.0008,0.763,0.763,0.763,0.763,320,68,118
118,1.180,0.0000,0.0000,-0.5291,0.0006,-0.0051,-9.7909,-0.0004,0.0009,0.0002,0.761,0.761,0.761,0.761,322,69,119
119,1.190,0.0000,0.0000,-0.5291,0.0006,0.0020,-9.7686,0.0003,-0.0001,-0.0006,0.765,0.765,0.765,0.765,324,69,120
120,1.200,0.0000,0.0000,-0.5370,-0.0000,-0.0005,-9.7781,0.0011,0.0001,-0.0001,0.762,0.762,0.762,0.762,327,70,121
121,1.210,0.0000,0.0000,-0.5370,0.0000,0.0011,-9.7762,-0.0003,-0.0009,0.0000,0.766,0.766,0.766,0.766,329,70,122
122,1.220,0.0000,0.0000,-0.5448,-0.0016,-0.0004,-9.7962,0.0001,-0.0002,0.0006,0.764,0.764,0.764,0.764,331,71,123
123,1.230,0.0000,0.0000,-0.5448,0.0009,0.0032,-9.8058,0.0007,-0.0003,-0.0013,0.768,0.768,0.768,0.768,333,71,124
